prefecture,zone_admin,zone,prix,surface_m2,prix_m2_officiel,source
GOLFE,Zone 5,akato,7000000.0,600.0,11667.0,ValeursVenales
GOLFE,Zone 5,akato-démé,7000000.0,600.0,11667.0,ValeursVenales
GOLFE,Zone 5,akato-viépé,7000000.0,600.0,11667.0,ValeursVenales
GOLFE,Zone 5,akato-avoiémé,7000000.0,600.0,11667.0,ValeursVenales
GOLFE,Zone 5,klémé-agokpanou,7000000.0,600.0,11667.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),dévégo,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),baguida,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),avépozo,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),kpogan,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),baguida plantation,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),kpogan agodékè,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),kpogan agbétiko,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),kpogan nouveau quartier,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 5 (Dévégo),adamavo,8000000.0,600.0,13333.0,ValeursVenales
GOLFE,Zone 6,zone portuaire,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,résidence du bénin,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,résidence de la caisse(baguida),1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,cité mokpokpo,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,cité des anges,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,well city,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,résidence de la boad,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,résidence de la bceao,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,baie des anges,1.0E8,600.0,166667.0,ValeursVenales
GOLFE,Zone 7,cité millénium,1.0E8,600.0,166667.0,ValeursVenales
