prefecture,zone_admin,zone,prix,surface_m2,prix_m2_officiel,source
CINKASSE,Zone 1: Urbaine,pourinde,5000000.0,600.0,8333.0,ValeursVenales
CINKASSE,Zone 1: Urbaine,akossombo,5000000.0,600.0,8333.0,ValeursVenales
CINKASSE,Zone 1: Urbaine,silmissi,5000000.0,600.0,8333.0,ValeursVenales
CINKASSE,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
CINKASSE,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
OTI,Zone 1 et 2: Urbaine et Périurbaine,mango,2000000.0,600.0,3333.0,ValeursVenales
OTI,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
WAWA,Zone 1 et 2: Urbaine et Périurbaine,badou,2000000.0,600.0,3333.0,ValeursVenales
WAWA,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
ANIE,Zone 1 et 2: Urbaine et Périurbaine,anié,2000000.0,600.0,3333.0,ValeursVenales
ANIE,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
AVE,Zone 1 et 2: Urbaine et Périurbaine,kévé,2000000.0,600.0,3333.0,ValeursVenales
AVE,Zone 3: Rurale,terrains agricoles,400000.0,10000.0,40.0,ValeursVenales
TCHAMBA,Zone 1 et 2: Urbaine et Périurbaine,tchamba,2000000.0,600.0,3333.0,ValeursVenales
TCHAMBA,Zone 3: Rurale,terrains agricoles,150000.0,10000.0,15.0,ValeursVenales
MOYEN MONO,Zone 1 et 2: Urbaine et Périurbaine,afangnan,2000000.0,600.0,3333.0,ValeursVenales
MOYEN MONO,Zone 3: Rurale,terrains agricoles,150000.0,10000.0,15.0,ValeursVenales
AMOU,Zone 1 et 2: Urbaine et Périurbaine,amlamé,2000000.0,600.0,3333.0,ValeursVenales
AMOU,Zone 3: Rurale,terrains agricoles,150000.0,10000.0,15.0,ValeursVenales
BINAH,Zone 1 et 2: Urbaine et Périurbaine,pagouda,2000000.0,600.0,3333.0,ValeursVenales
BINAH,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
ASSOLI,Zone 1 et 2: Urbaine et Périurbaine,bafilo,2000000.0,600.0,3333.0,ValeursVenales
ASSOLI,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
DOUFELGOU,Zone 1 et 2: Urbaine et Périurbaine,niamtougou,2000000.0,600.0,3333.0,ValeursVenales
DOUFELGOU,Zone 3: Rurale,terrains agricoles,150000.0,10000.0,15.0,ValeursVenales
BLITTA,Zone 1 et 2: Urbaine et Périurbaine,blitta,2000000.0,600.0,3333.0,ValeursVenales
BLITTA,Zone 3: Rurale,terrains agricoles,175000.0,10000.0,17.5,ValeursVenales
YOTO,Zone 1 et 2: Urbaine et Périurbaine,tabligbo,2000000.0,600.0,3333.0,ValeursVenales
YOTO,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
EST-MONO,Zone 1 et 2: Urbaine et Périurbaine,elavagnon,2000000.0,600.0,3333.0,ValeursVenales
EST-MONO,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
TANDJOUARE,Zone 1 et 2: Urbaine et Périurbaine,tandjoare,2000000.0,600.0,3333.0,ValeursVenales
TANDJOUARE,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
KPENDJAL,Zone 1 et 2: Urbaine et Périurbaine,mandouri,2000000.0,600.0,3333.0,ValeursVenales
KPENDJAL,Zone 3: Rurale,terrains agricoles,75000.0,10000.0,7.5,ValeursVenales
DANKPEN,Zone 1 et 2: Urbaine et Périurbaine,guérin-kouka,2000000.0,600.0,3333.0,ValeursVenales
DANKPEN,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
KPELE,Zone 1 et 2: Urbaine et Périurbaine,adéta,2000000.0,600.0,3333.0,ValeursVenales
KPELE,Zone 3: Rurale,terrains agricoles,150000.0,10000.0,15.0,ValeursVenales
DANYI,Zone 1 et 2: Urbaine et Périurbaine,danyi,2000000.0,600.0,3333.0,ValeursVenales
DANYI,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
MÔ,Zone 1 et 2: Urbaine et Périurbaine,djarkpanga,2000000.0,600.0,3333.0,ValeursVenales
MÔ,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
AKEBOU,Zone 1 et 2: Urbaine et Périurbaine,kougnohou,2000000.0,600.0,3333.0,ValeursVenales
AKEBOU,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
KERAN,Zone 1 et 2: Urbaine et Périurbaine,kantè,2000000.0,600.0,3333.0,ValeursVenales
KERAN,Zone 3: Rurale,terrains agricoles,150000.0,10000.0,15.0,ValeursVenales
AGOU,Zone 1 et 2: Urbaine et Périurbaine,gadzépé,2000000.0,600.0,3333.0,ValeursVenales
AGOU,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
MOYEN MONO,Zone 1 et 2: Urbaine et Périurbaine,tohoun,2000000.0,600.0,3333.0,ValeursVenales
MOYEN MONO,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
KPENDJAL-OUEST,Zone 1 et 2: Urbaine et Périurbaine,naki-est,2000000.0,600.0,3333.0,ValeursVenales
KPENDJAL-OUEST,Zone 3: Rurale,terrains agricoles,75000.0,10000.0,7.5,ValeursVenales
OTI SUD,Zone 1 et 2: Urbaine et Périurbaine,gando,2000000.0,600.0,3333.0,ValeursVenales
OTI SUD,Zone 3: Rurale,terrains agricoles,100000.0,10000.0,10.0,ValeursVenales
