source,id,nuo,titre,usage,offre,categorie,ville,quartier,piece,surface,garage,cout_mensuel,cout_vente,nuitee
ImmoAsk,1511,5452,"terrain,vendre,lome,legbassito",Acquisition,vendre,Terrain,Lome,Agoe,0,600.0,0,0,30000000,0
ImmoAsk,1510,5451,"terrain,vendre,lome,segbe ",Acquisition,vendre,Terrain,Lome,Segbe,0,900.0,0,0,17000000,0
ImmoAsk,1509,5450,"terrain,vendre,lome,segbe ",Acquisition,vendre,Terrain,Lome,Segbe,0,600.0,0,0,20000000,0
ImmoAsk,1508,5449,"terrain,vendre,lome,adidogome ",Acquisition,vendre,Terrain,Lome,Adidogome,0,600.0,0,0,30000000,0
ImmoAsk,1507,5448,"villa meublée,louer,lome,baguida",Sejour,louer,Villa meublée,Lome,Baguida,3,600.0,1,850000,0,0
ImmoAsk,1506,5447,"chambre salon,louer,lome,zanguera ",Logement,louer,Chambre salon,Lome,Zanguera,1,40.0,0,45000,0,0
ImmoAsk,1505,5446,"2 chambres salon,louer,lome,legbasito",Logement,louer,2 chambres salon,Lome,Agoe,2,10.0,0,70000,0,0
ImmoAsk,1504,5445,"2 chambres salon,louer,lome,adidogome assiyeye",Logement,louer,2 chambres salon,Lome,Adidogome,0,100.0,0,120000,0,0
ImmoAsk,1503,5444,"studio meublé,louer,lome,kegue ",Sejour,louer,Appartement meublé,Lome,Kegue,1,20.0,1,300000,0,0
ImmoAsk,1502,5443,"3 chambres salon,louer,lome,lankouvi",Logement,louer,3 chambres salon,Lome,Adidogome,0,80.0,0,80000,0,0
ImmoAsk,1501,5442,"appartement meublé,louer,lome,agbalepedo ",Sejour,louer,Appartement meublé,Lome,Agbalépédo,2,100.0,1,600000,0,0
ImmoAsk,1500,5441,"villa,louer,lome,3k",Logement,louer,Villa,Lome,Baguida,0,300.0,0,350000,0,0
ImmoAsk,1499,5440,"chambre salon,louer,lome,nukafu",Logement,louer,Chambre salon,Lome,Nukafu,1,25.0,0,45000,0,0
ImmoAsk,1498,5439,"terrain,vendre,lome,agbelouve",Acquisition,vendre,Terrain,Lome,Agbelouve,0,10000.0,0,0,2800000,0
