Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source
ImmoAsk,"2 chambres salon,louer,1,nukafu",LOCATION,2 chambres salon,nukafu,100000.0,2,60.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,adewui",LOCATION,2 chambres salon,adewui,300000.0,2,90.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,adidogome",LOCATION,2 chambres salon,adidogome,60000.0,2,40.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,adidogome",LOCATION,2 chambres salon,adidogome,65000.0,2,50.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,adidogome assiyeye",LOCATION,2 chambres salon,adidogome,120000.0,2,100.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,adidogome kohe",LOCATION,2 chambres salon,adidogome,70000.0,2,50.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,adidogome soviepe",LOCATION,2 chambres salon,adidogome,65000.0,2,64.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,agoe legbassito anhonkpoe",LOCATION,2 chambres salon,agoe,200000.0,2,48.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,be station t-oil",LOCATION,2 chambres salon,bè,220000.0,2,48.0,ImmoAsk,immoask
ImmoAsk,"2 chambres salon,louer,lome,legbasito",LOCATION,2 chambres salon,agoe,70000.0,2,10.0,ImmoAsk,immoask
ImmoAsk,"3 chambres salon,louer,lome,adidogome cite mokpokpo",LOCATION,3 chambres salon,adidogome,120000.0,2,80.0,ImmoAsk,immoask
ImmoAsk,"3 chambres salon,louer,lome,kegue",LOCATION,3 chambres salon,kegue,150000.0,2,80.0,ImmoAsk,immoask
ImmoAsk,"3 chambres salon,louer,lome,kegue",LOCATION,3 chambres salon,kegue,250000.0,2,120.0,ImmoAsk,immoask
ImmoAsk,"3 chambres salon,louer,lome,lankouvi",LOCATION,3 chambres salon,adidogome,80000.0,2,80.0,ImmoAsk,immoask
ImmoAsk,"3 chambres salon,louer,lome,vakpossito",LOCATION,Appartement,agoe,90000.0,3,80.0,ImmoAsk,immoask
ImmoAsk,Appartement 2 pièce(s) 40 m² - Djidjolé,LOCATION,Appartement,djidjolé,90000.0,2,40.0,ImmoAsk,immoask
ImmoAsk,Appartement 2 pièce(s) 60 m² - Agoe,LOCATION,Appartement,agoe,70000.0,2,60.0,ImmoAsk,immoask
ImmoAsk,Appartement 3 pièce(s) 10 m² - Adetikope,LOCATION,Appartement,adetikope,100000.0,3,10.0,ImmoAsk,immoask
ImmoAsk,Appartement 3 pièce(s) 10 m² - Bè,LOCATION,Appartement,bè,300000.0,3,10.0,ImmoAsk,immoask
ImmoAsk,Appartement 3 pièce(s) 40 m² - Ablogame,LOCATION,Appartement,ablogame,250000.0,3,40.0,ImmoAsk,immoask
ImmoAsk,Appartement 3 pièce(s) 60 m² - Totsi,LOCATION,Appartement,totsi,200000.0,3,60.0,ImmoAsk,immoask
ImmoAsk,Appartement 3 pièce(s) 70 m² - Adidogome,LOCATION,Appartement,adidogome,80000.0,3,70.0,ImmoAsk,immoask
ImmoAsk,Appartement 3 pièce(s) 80 m² - Agoe,LOCATION,Appartement,agoe,100000.0,3,80.0,ImmoAsk,immoask
ImmoAsk,Appartement 3 pièce(s) 80 m² - Djidjolé,LOCATION,Appartement,djidjolé,220000.0,3,80.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 1 pièce(s) 20 m² - Adidogome,LOCATION,Appartement meublé,adidogome,673000.0,1,20.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 1 pièce(s) 20 m² - Hédzranawoe,LOCATION,Appartement meublé,hédzranawoe,250000.0,1,20.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 1 pièce(s) 25 m² - Adewui,LOCATION,Appartement meublé,adewui,320000.0,1,25.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 1 pièce(s) 25 m² - Djidjolé,LOCATION,Appartement meublé,djidjolé,500000.0,1,25.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 1 pièce(s) 26 m² - Hédzranawoe,LOCATION,Appartement meublé,hédzranawoe,350000.0,1,26.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 1 pièce(s) 30 m² - Agbalépédo,LOCATION,Appartement meublé,agbalépédo,450000.0,1,30.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 1 pièce(s) 60 m² - Adewui,LOCATION,Appartement meublé,adewui,430000.0,1,60.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 2 pièce(s) 70 m² - Adidogome,LOCATION,Appartement meublé,adidogome,1070000.0,2,70.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 2 pièce(s) 70 m² - Adidogome,LOCATION,Appartement meublé,adidogome,1092000.0,2,70.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 2 pièce(s) 70 m² - Adidogome,LOCATION,Appartement meublé,adidogome,1150000.0,2,70.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 2 pièce(s) 71 m² - Adidogome,LOCATION,Appartement meublé,adidogome,450000.0,2,71.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 2 pièce(s) 77 m² - Adidogome,LOCATION,Appartement meublé,adidogome,980000.0,2,77.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 2 pièce(s) 78 m² - Adidogome,LOCATION,Appartement meublé,adidogome,1150000.0,2,78.0,ImmoAsk,immoask
ImmoAsk,Appartement meublé 2 pièce(s) 80 m² - Adidogome,LOCATION,Appartement meublé,adidogome,500000.0,2,80.0,ImmoAsk,immoask
ImmoAsk,Boutique 1 pièce(s) 50 m² - Baguida,LOCATION,Boutique,baguida,70000.0,1,50.0,ImmoAsk,immoask
ImmoAsk,Chambre 1 pièce(s) 15 m² - Adidogome,LOCATION,Chambre,adidogome,30000.0,1,15.0,ImmoAsk,immoask
ImmoAsk,Chambre salon 1 pièce(s) 14 m² - Baguida,LOCATION,Chambre salon,baguida,300000.0,1,14.0,ImmoAsk,immoask
ImmoAsk,Maison 3 pièce(s) 10 m² - Afagnan,LOCATION,Maison,afagnan,80000.0,3,10.0,ImmoAsk,immoask
ImmoAsk,Maison 4 pièce(s) 600 m² - Avepozo,VENTE,Maison,avepozo,3.5E7,4,600.0,ImmoAsk,immoask
ImmoAsk,Terrain urbain 2 pièce(s) 450 m² - Segbe,VENTE,Terrain urbain,segbe,8500000.0,2,450.0,ImmoAsk,immoask
ImmoAsk,Terrain urbain 2 pièce(s) 600 m² - Agoe,VENTE,Terrain urbain,agoe,3.2E7,2,600.0,ImmoAsk,immoask
ImmoAsk,Villa 3 pièce(s) 10 m² - Adetikope,LOCATION,Villa,adetikope,90000.0,3,10.0,ImmoAsk,immoask
ImmoAsk,Villa 3 pièce(s) 104 m² - Agoe,LOCATION,Villa,agoe,250000.0,3,104.0,ImmoAsk,immoask
ImmoAsk,Villa 3 pièce(s) 80 m² - Djidjolé,LOCATION,Villa,djidjolé,200000.0,3,80.0,ImmoAsk,immoask
ImmoAsk,Villa 3 pièce(s) 80 m² - Totsi,LOCATION,Villa,totsi,200000.0,3,80.0,ImmoAsk,immoask
ImmoAsk,Villa 3 pièce(s) 900 m² - Agoe,VENTE,Villa,agoe,4.5E7,3,900.0,ImmoAsk,immoask
ImmoAsk,Villa 4 pièce(s) 150 m² - Agbalépédo,LOCATION,Villa,agbalépédo,380000.0,4,150.0,ImmoAsk,immoask
