Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source
COIN D'AFRIQUE,Parcelle 2 lots - Adidogomé,VENTE,TERRAIN,adidogome,9.0E7,Non spécifié,1200.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle 2 lots à Avedji,VENTE,TERRAIN,avedji,1.6E8,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle 242 m² - Baguida,VENTE,TERRAIN,baguida,1.7E7,Non spécifié,242.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle 300 m² - Aveta,VENTE,TERRAIN,aveta,2.3E7,Non spécifié,300.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle 300m² - Adétikopé,VENTE,TERRAIN,adetikope,6000000.0,Non spécifié,300.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle 4 lots - Noépé,VENTE,TERRAIN,noepe,1.6E7,Non spécifié,2400.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle 600 m² - Baguida,VENTE,TERRAIN,baguida,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle 600m² 1 lot à Adetikopé lieu dit Kpotavé,VENTE,TERRAIN,adetikope kpotave,1.2E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle agricole 79 ha - Adjakpa,VENTE,TERRAIN,adjakpa,2000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle contenant 2 pièces 150m² Agoé Daliko,VENTE,TERRAIN,daliko,9000000.0,2,150.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Parcelle de 600m² à Baguida,VENTE,TERRAIN,baguida,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle demi lot à Baguida,VENTE,TERRAIN,baguida,2.2E7,Non spécifié,300.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle demi lots nu clôturé Adidogomé Sagbado logoté,VENTE,TERRAIN,adidogome,1.4E7,Non spécifié,600.0,CoinAfrique,coinafrique
TOGO IMMOBILIER,Parcelle à Agoè minamadou,VENTE,TERRAIN,agoe,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
