titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source
Terrain 2 lots 1/2 à Boulevard,VENTE,Terrain,boulevard,270000000,,300.0,coinafrique
Terrain 12 lots à Legbassito bokpokpo,VENTE,Terrain,legbassito bokpokpo,264000000,,7200.0,coinafrique
Terrain 7564m² à Agoe Legbassito,VENTE,Terrain,agoe legbassito,264000000,,7564.0,coinafrique
Terrain 7564m² clôturés TF à Légbassito Bokpoko,VENTE,Terrain,legbassito,264000000,,7564.0,coinafrique
Terrain 4 lots - Gbossime,VENTE,Terrain,gbossime,260000000,,2400.0,coinafrique
Terrain 4lots - Gbossime,VENTE,Terrain,gbossime,260000000,,2400.0,coinafrique
Terrain 4 lots angle rue face au pavé et 90 m du goudron Avenou,VENTE,Terrain,avenou,260000000,,2400.0,coinafrique
Terrain 14 lot a 300 m du goudron - Adetikope à côté de l'usine voltic),VENTE,Terrain,adetikope,252000000,,8400.0,coinafrique
Terrain 1/2 lot - Nyekonakpoe,VENTE,Terrain,nyekonakpoe,250000000,,300.0,coinafrique
Terrain 2000m² - Agoè sogbossito,VENTE,Terrain,agoe,250000000,,2000.0,coinafrique
Terrain 326m² à Nyekonakpoè,VENTE,Terrain,nyekonakpoe,250000000,,326.0,coinafrique
Terrain 2000m² - Agoe sogbossito,VENTE,Terrain,sogbossito,250000000,,2000.0,coinafrique
Terrain 3 lots et ⅓ à Agoè sogbossito,VENTE,Terrain,agoe,250000000,,1800.0,coinafrique
Terrain 3 lots et 1/3 à 150 m du goudron et face à une voie de 50 m (agoe sogbossito),VENTE,Terrain,sogbossito,250000000,,2000.0,coinafrique
Terrain 3 lots à Agoè Sogbossito,VENTE,Terrain,agoe,250000000,,1800.0,coinafrique
Terrain 3 lots à Noukafou,VENTE,Terrain,noukafou,250000000,,1800.0,coinafrique
Terrain à Sogbossito,VENTE,Terrain,sogbossito,250000000,,600.0,coinafrique
Terrain 4 lot & 1/2 baguida Bateauvi,VENTE,Terrain,bateauvi,250000000,,300.0,coinafrique
Terrain 1 lot et ¾ à Akodessewa,VENTE,Terrain,akodessewa,250000000,,600.0,coinafrique
Terrain 3/4 de lot soit 430m² à Adoboukomé,VENTE,Terrain,adoboukome,250000000,,430.0,coinafrique
Terrain à Akodessewa,VENTE,Terrain,akodessewa,250000000,,600.0,coinafrique
Terrain 10ha à Avedji,VENTE,Terrain,avedji,250000000,,100000.0,coinafrique
Terrain 947m² à Kégué,VENTE,Terrain,kegue,250000000,,947.0,coinafrique
Terrain 1 lot et demi à Nyekonakpoè,VENTE,Terrain,nyekonakpoe,250000000,,600.0,coinafrique
Terrain à Lomé Togo,VENTE,Terrain,lome,250000000,,600.0,coinafrique
Terrain 3/4 lot - Agoè,VENTE,Terrain,agoe,240000000,,2400.0,coinafrique
Terrain 3 lot face au goudron - Hedzranawoe tinga,VENTE,Terrain,hedzranawoe tinga,240000000,,1800.0,coinafrique
Terrain 6 lots - Kegué Zogbé,VENTE,Terrain,kegue zogbe,240000000,,3600.0,coinafrique
Terrain 2 lots au bord du goudron à Agoè,VENTE,Terrain,agoe,240000000,,1200.0,coinafrique
Terrain 2 lots à Agoè,VENTE,Terrain,agoe,240000000,,1200.0,coinafrique
Terrain 02 lots collés soit près de 1200m² ouverts sur la Nationale N°1,VENTE,Terrain,n,240000000,,1200.0,coinafrique
Terrain 1/2 lot face au goudron angle rue cité Renaissance,VENTE,Terrain,non precise,235000000,,300.0,coinafrique
Terrain 2 lot ouvert sur deux voies Nyekonakpoe,VENTE,Terrain,nyekonakpe,230000000,,1200.0,coinafrique
Terrain 4 lots à Adetikopé au bord du goudron lomé cinkassé,VENTE,Terrain,adetikope,228000000,,2400.0,coinafrique
Terrain TF 4 lots collés à Adeticope,VENTE,Terrain,adetikope,228000000,,2400.0,coinafrique
Terrain 2 lots ½ angles de rues à Bè +Château,VENTE,Terrain,be,225000000,,1200.0,coinafrique
Terrain 28lots collés - Zanguera,VENTE,Terrain,zanguera,224000000,,16800.0,coinafrique
Terrain 16lots collés à Davié,VENTE,Terrain,davie,224000000,,9600.0,coinafrique
Terrain 1 lot face au goudron Kodjoviakope administratif,VENTE,Terrain,kodjoviakope,220000000,,600.0,coinafrique
Terrain 10lots à Adétikopé,VENTE,Terrain,adetikope,220000000,,6000.0,coinafrique
Terrain 680 m² - Atikpodi,VENTE,Terrain,atikpodi,220000000,,680.0,coinafrique
Terrain 2 lot 3/4 1600m² à Agoe Sogbossito,VENTE,Terrain,sogbossito,220000000,,1200.0,coinafrique
Terrain 4 lots - Agoè,VENTE,Terrain,agoe,212500000,,2400.0,coinafrique
Terrain 4 lot - Adetikope,VENTE,Terrain,adetikope,200000000,,2400.0,coinafrique
Terrain 3 lots et 3/4 lot - Kégué,VENTE,Terrain,kegue,200000000,,1800.0,coinafrique
"Terrain 3,75 lots à kégué",VENTE,Terrain,kegue,200000000,,45000.0,coinafrique
Terrain 3 lots & 3/4 face au goudron ouvert sur 4 angle rue Togo 2000 - Kegue,VENTE,Terrain,kegue,200000000,,1800.0,coinafrique
Terrain 4 lots 2358m² à Adeticope,VENTE,Terrain,adetikope,200000000,,2400.0,coinafrique
Terrain 1 lot 1/4 - Casablanca,VENTE,Terrain,casablanca,200000000,,600.0,coinafrique
Terrain 1/2 lot - Amadahomé,VENTE,Terrain,amadahome,200000000,,300.0,coinafrique
Terrain 1lot à Novissi,VENTE,Terrain,novissi,200000000,,600.0,coinafrique
Terrain 1 lot au goudron du boulevard Jean paul 2 à Novissi.,VENTE,Terrain,novissi,200000000,,600.0,coinafrique
Terrain 1 lot à Novissi,VENTE,Terrain,novissi,200000000,,600.0,coinafrique
Terrain 1 lot face au boulevard jean Paul 2 Novissi,VENTE,Terrain,novissi,200000000,,600.0,coinafrique
Terrain 1 lot face au goudron Novissi boulevard jean Paul,VENTE,Terrain,novissi,200000000,,600.0,coinafrique
Terrain 1 lot a Novissi,VENTE,Terrain,novissi,200000000,,600.0,coinafrique
Terrain TF à à Adoboukomé,VENTE,Terrain,adoboukome,200000000,,600.0,coinafrique
Terrain TF 10a 98ca au bord du goudron qui mène a l'école Française,VENTE,Terrain,non precise,200000000,,100000.0,coinafrique
Terrain 14 lots - Klobateme,VENTE,Terrain,klobateme,196000000,,8400.0,coinafrique
Terrain 3 lots angle rue face au pavé et 90 m du goudron Avenou,VENTE,Terrain,avenou,195000000,,1800.0,coinafrique
Terrain 3 lots clôturé à Attiegou,VENTE,Terrain,attiegou,195000000,,1800.0,coinafrique
Terrain 2 lots angle rue face au goudron Djidjole apres Obu,VENTE,Terrain,djidjole,190000000,,1200.0,coinafrique
Terrain 2 lot à Djidjolé,VENTE,Terrain,djidjole,190000000,,1200.0,coinafrique
Terrain 2 lots à Djidjole,VENTE,Terrain,djidjole,190000000,,1200.0,coinafrique
Terrain 1 lot à Agoè Assiyéyé,VENTE,Terrain,agoe,185000000,,600.0,coinafrique
Terrain 10 lots collés - Agbavi,VENTE,Terrain,agbavi,180000000,,6000.0,coinafrique
Terrain 10 lots collés de 6025 m² - Agbavi,VENTE,Terrain,agbavi,180000000,,6000.0,coinafrique
Terrain 3/4 - Dekon,VENTE,Terrain,dekon,180000000,,450.0,coinafrique
Terrain 2 lots - Adidogomé,VENTE,Terrain,adidogome,180000000,,1200.0,coinafrique
Terrain 2 lot face au goudron ouvert sur deux voies - Adidogomé apedokoe,VENTE,Terrain,adidogome,180000000,,1200.0,coinafrique
Parcelle - Agbavi,VENTE,Terrain,agbavi,180000000,,600.0,coinafrique
Terrain 1/2 lot - Monte Cristo,VENTE,Terrain,monte cristo,180000000,,300.0,coinafrique
Terrain 2 lots coller soit 1204m² à Agbalépedo,VENTE,Terrain,agbalepedo,180000000,,1200.0,coinafrique
Terrain 12 lots collés Aképédo,VENTE,Terrain,akepe,180000000,,7200.0,coinafrique
Terrain 1433m² à Bè Château,VENTE,Terrain,be,180000000,,1433.0,coinafrique
Terrain 2 lot & 1/2 - Tokoin wuiti,VENTE,Terrain,tokoin,180000000,,300.0,coinafrique
Terrain 2 collés soit 1000m² - Tokoin Ramco,VENTE,Terrain,tokoin,180000000,,1000.0,coinafrique
Terrain 2 lots et ½ 14a 70 çà WITI juste en face du CEG Tokoin EST,VENTE,Terrain,tokoin,180000000,,1200.0,coinafrique
Terrain 1/2 lot - Noukafou,VENTE,Terrain,noukafou,175000000,,300.0,coinafrique
Terrain 5 lots - Lomé,VENTE,Terrain,lome,175000000,,3000.0,coinafrique
"Terrain 8,75 Lots collés à Davié",VENTE,Terrain,davie,175000000,,45000.0,coinafrique
Terrain 1/2 lot - Adidogomé,VENTE,Terrain,adidogome,170000000,,300.0,coinafrique
Terrain 2 lots collés - carrefour Sanol,VENTE,Terrain,non precise,170000000,,1200.0,coinafrique
Terrain 2 lots angle rue face au goudron Adidoadin,VENTE,Terrain,adidoadin,170000000,,1200.0,coinafrique
Terrain 2 lots à Avenou Kouvahey,VENTE,Terrain,avenou,170000000,,1200.0,coinafrique
Terrain 2 lots - Avenou kouvahey,VENTE,Terrain,avenou,170000000,,1200.0,coinafrique
Terrain 1/2 lot clôturé - Adidogomé,VENTE,Terrain,adidogome,170000000,,300.0,coinafrique
Terrain 2 lots - Avenou Kouvahey,VENTE,Terrain,avenou,170000000,,1200.0,coinafrique
Terrain 2 lots - Avenou,VENTE,Terrain,avenou,170000000,,1200.0,coinafrique
Terrain 10 lots - Akepe,VENTE,Terrain,akepe,170000000,,6000.0,coinafrique
Terrain 1 lot & 1/2 à Adidogome Douane,VENTE,Terrain,adidogome douane,170000000,,300.0,coinafrique
Terrain 1 lot & 1/2 à Adidogomé,VENTE,Terrain,adidogome,170000000,,300.0,coinafrique
Terrain 2lots et demi à Avenou Kouvahey,VENTE,Terrain,avenou,170000000,,1200.0,coinafrique
Terrain 02 lots et demi 1429m² à Avenou Kouvahey,VENTE,Terrain,avenou,170000000,,1200.0,coinafrique
Terrain 01 lot et 1/2 de terrain clôturé à Adidogomé douane,VENTE,Terrain,adidogome,170000000,,300.0,coinafrique
Terrain 01 lot 1/4 au bord du goudron de Segbe.,VENTE,Terrain,segbe,170000000,,750.0,coinafrique
Terrain 1lot à Adidogome,VENTE,Terrain,adidogome,170000000,,600.0,coinafrique
Terrain 9 lots collé à Davie,VENTE,Terrain,davie,162000000,,5400.0,coinafrique
Parcelle 2 lots à Avedji,VENTE,Terrain,avedji,160000000,,600.0,coinafrique
Terrain 2 lots angle rue face au goudron Totsi,VENTE,Terrain,totsi,160000000,,1200.0,coinafrique
Terrain 10 lots - Akepe,VENTE,Terrain,akepe,160000000,,6000.0,coinafrique
Terrain 2 lots - Togblekopé,VENTE,Terrain,togblekope,160000000,,1200.0,coinafrique
Terrain 1 lot et 3/4 lot - Totsi,VENTE,Terrain,totsi,160000000,,600.0,coinafrique
Terrain 2 lots collés - Tosti,VENTE,Terrain,tosti,160000000,,1200.0,coinafrique
Terrain 2 lots - Avedji,VENTE,Terrain,avedji,160000000,,1200.0,coinafrique
Terrain 20 lots - Tsevie Kpali,VENTE,Terrain,tsevie kpali,160000000,,12000.0,coinafrique
Terrain 2 lots face au goudron Agoe legbassito,VENTE,Terrain,legbassito,160000000,,1200.0,coinafrique
Terrain 1229m² à Avedji,VENTE,Terrain,avedji,160000000,,1229.0,coinafrique
Terrain 4 lot à Baguida,VENTE,Terrain,baguida,160000000,,2400.0,coinafrique
Terrain 8 lots à Kpalume,VENTE,Terrain,kpalume,160000000,,4800.0,coinafrique
Terrain 798m² 4 lots Baguida l'espace aérée de la BCEAO,VENTE,Terrain,l espace aeree de la bceao,160000000,,798.0,coinafrique
Terrain 4 lots - Sagbado,VENTE,Terrain,adidogome sagbado,160000000,,2400.0,coinafrique
Terrain 4 lots à 700 m du goudron Adidogome Sagbado,VENTE,Terrain,adidogome sagbado,160000000,,2400.0,coinafrique
Terrain 3/4 lot Nukafu au bord du goudron,VENTE,Terrain,nukafu,160000000,,2400.0,coinafrique
Terrain 4 lots - entreprises d’union,VENTE,Terrain,entreprises d union,160000000,,2400.0,coinafrique
Terrain 1/2m² à Adidogome,VENTE,Terrain,adidogome,160000000,,300.0,coinafrique
Terrain 2 lots à agoè sogbossito,VENTE,Terrain,agoe,160000000,,1200.0,coinafrique
Terrain 2 lots - Djidjole,VENTE,Terrain,djidjole,160000000,,1200.0,coinafrique
Terrain 2 lots - Adidoadin,VENTE,Terrain,adidoadin,160000000,,1200.0,coinafrique
Terrain 1 lot à Agoè assiyeye,VENTE,Terrain,agoe,160000000,,600.0,coinafrique
Terrain 6 lots collés à Adetikope,VENTE,Terrain,adetikope,156000000,,3600.0,coinafrique
Terrain 1 lot - Tokoin Wuiti,VENTE,Terrain,tokoin,150000000,,600.0,coinafrique
Terrain 10 lots - Adetikope,VENTE,Terrain,adetikope,150000000,,6000.0,coinafrique
Terrain 08 lots - Zone Aéroport,VENTE,Terrain,hedzranawoe aeroport,150000000,,4800.0,coinafrique
Terrain 5 lots au bord du lac Togo,VENTE,Terrain,ogo,150000000,,3000.0,coinafrique
Terrain 2 lots - Adidoadin,VENTE,Terrain,adidoadin,150000000,,1200.0,coinafrique
Terrain à Baguida,VENTE,Terrain,baguida,150000000,,600.0,coinafrique
Terrain 1 lot à Tokoin,VENTE,Terrain,tokoin,150000000,,600.0,coinafrique
Terrain 10 lots à Adetikope,VENTE,Terrain,adetikope,150000000,,6000.0,coinafrique
Terrain 2 lots collés - Adidoadin,VENTE,Terrain,adidoadin,150000000,,1200.0,coinafrique
Terrain TF 2 lots à Hedranawoé,VENTE,Terrain,hedzranawoe,150000000,,1200.0,coinafrique
Terrain 3/4 lot - Dekon,VENTE,Terrain,dekon,150000000,,2400.0,coinafrique
Terrain 8 lots au bord de goudron de Tokoin - aéroport,VENTE,Terrain,tokoin,150000000,,4800.0,coinafrique
Terrain 8 lots à Noukafu,VENTE,Terrain,noukafu,150000000,,4800.0,coinafrique
Terrain 1 lot à Tokoin wuiti,VENTE,Terrain,tokoin,150000000,,600.0,coinafrique
Terrain 1 lot - Tokoin,VENTE,Terrain,tokoin,150000000,,600.0,coinafrique
Terrain 1 lot - Wuiti,VENTE,Terrain,wuiti,150000000,,600.0,coinafrique
Terrain 1 lot - Tokoin wuti,VENTE,Terrain,tokoin,150000000,,600.0,coinafrique
Terrain 1 lot - Aéroport,VENTE,Terrain,hedzranawoe aeroport,150000000,,600.0,coinafrique
Terrain 2 lot & 1/4 à 50 m du goudron Agbalepedo,VENTE,Terrain,agbalepedo,150000000,,1350.0,coinafrique
Terrain 1 lot & 1/2 face au goudron Agbalepedo,VENTE,Terrain,agbalepedo,150000000,,300.0,coinafrique
Terrain TF à Zanguera Akepedo Jérusalem,VENTE,Terrain,zanguera akepedo jerusalem,150000000,,600.0,coinafrique
Terrain 2 lots à Agbalepedo,VENTE,Terrain,agbalepedo,150000000,,1200.0,coinafrique
Terrain 10 lots collés Agbalépédo sotopla au bord du goudron,VENTE,Terrain,non precise,150000000,,6000.0,coinafrique
Terrain 02 lots clôturés à Baguida,VENTE,Terrain,baguida,150000000,,1200.0,coinafrique
Terrain 02 lots à Baguida cité b0ad,VENTE,Terrain,non precise,150000000,,1200.0,coinafrique
Terrain 1 lot & 1/4 à Baguida,VENTE,Terrain,baguida,150000000,,600.0,coinafrique
Terrain 2 lot & 1/4 à Agbalepedo,VENTE,Terrain,agbalepedo,150000000,,1350.0,coinafrique
Terrain 2 lots - Baguida,VENTE,Terrain,baguida,150000000,,1200.0,coinafrique
Terrain 2 lots face au goudron Adidoadin,VENTE,Terrain,adidoadin,150000000,,1200.0,coinafrique
Terrain 10 lot à Apessito,VENTE,Terrain,apessito,150000000,,6000.0,coinafrique
Terrain 2 lots 1/2 collés à Agoè - assiyéyé,VENTE,Terrain,agoe,150000000,,300.0,coinafrique
Terrain à Hanoukope,VENTE,Terrain,hanoukope,150000000,,600.0,coinafrique
Terrain 5 lots collés au bord du lac Togo à Kpessi,VENTE,Terrain,kpessi,150000000,,3000.0,coinafrique
Terrain à Agoe Assiyéyé,VENTE,Terrain,assiyeye,150000000,,600.0,coinafrique
Terrains 2lots collés bien positionnés pour construire les - À kodessewa/zone portuaire,VENTE,Terrain,kodessewa zone portuaire,150000000,,1200.0,coinafrique
Terrain 1 Lot et demi collés à Agbalepedo,VENTE,Terrain,agbalepedo,150000000,,600.0,coinafrique
Terrain 2 lots à Abloganmè Kotokoukondji,VENTE,Terrain,ablogame,150000000,,1200.0,coinafrique
Terrain 760m² à Kodjoviakopé,VENTE,Terrain,kodjoviakope,150000000,,760.0,coinafrique
"Terrain 10 lots collés à Agoè État - Major,",VENTE,Terrain,agoe,150000000,,6000.0,coinafrique
Terrain 2 lots à Baguida cité boad,VENTE,Terrain,baguida,150000000,,1200.0,coinafrique
Terrain 1 hectare à Zanguéra akepedo,VENTE,Terrain,zanguera,150000000,,10000.0,coinafrique
Terrain TF Agoè Cacavéli,VENTE,Terrain,agoe,150000000,,600.0,coinafrique
Terrain 3 lots 1/4 1926m² à Baguida,VENTE,Terrain,baguida,150000000,,1950.0,coinafrique
Terrain 2 lots collés clôturés - à Djidjole Batomè,VENTE,Terrain,djidjole batome,150000000,,1200.0,coinafrique
Terrain 1ha à Zanguera,VENTE,Terrain,zanguera,150000000,,10000.0,coinafrique
Terrain 2 lots collés clôturés Adidoadin,VENTE,Terrain,adidoadin,150000000,,1200.0,coinafrique
Terrain à Agbalépédo,VENTE,Terrain,agbalepedo,150000000,,600.0,coinafrique
Terrains 10 lots à Akepedo avec titre foncier,VENTE,Terrain,akepedo,150000000,,6000.0,coinafrique
Terrain 2 lots à Adidoadin,VENTE,Terrain,adidoadin,150000000,,1200.0,coinafrique
Terrain 2 lots à Agbalépédo,VENTE,Terrain,agbalepedo,150000000,,1200.0,coinafrique
Terrain 10lots à Akepedo,VENTE,Terrain,akepedo,150000000,,6000.0,coinafrique
Terrain 1200m² à Cité Boad,VENTE,Terrain,non precise,150000000,,1200.0,coinafrique
Terrain 2 lots colés Baguida dans la cité BOAD,VENTE,Terrain,dans la,150000000,,1200.0,coinafrique
Terrain 3 lots 1/4 1926m² à Baguida,VENTE,Terrain,baguida,150000000,,1800.0,coinafrique
Terrain à a Tsikplonou - Kondi,VENTE,Terrain,kondi,140000000,,600.0,coinafrique
Terrain 2 lots à Adidogome madiba,VENTE,Terrain,adidogome madiba,140000000,,1200.0,coinafrique
Terrain 4 lots à 70 m du goudron Agoe Zongo,VENTE,Terrain,zongo,140000000,,2400.0,coinafrique
Terrain 2 lots à Adidogomé Madiba,VENTE,Terrain,adidogome,140000000,,1200.0,coinafrique
Terrain 1012 m² - Grand Marché De Lomé,VENTE,Terrain,grand marche de lome,140000000,,1012.0,coinafrique
Terrain 1 lot et 3/4 soit 1010m² à Kégué,VENTE,Terrain,kegue,140000000,,600.0,coinafrique
Terrain 2 lots angle rue a 200 m du goudron Hedzranawoe,VENTE,Terrain,hedzranawoe,140000000,,1200.0,coinafrique
Terrain 4 lots collés à Avepozo,VENTE,Terrain,avepozo,140000000,,2400.0,coinafrique
Terrain 1 lot & 3/4 face au goudron Kegue,VENTE,Terrain,kegue,140000000,,600.0,coinafrique
Terrain 2 lots avec 2 chambres salon - Kégué,VENTE,Terrain,kegue,140000000,2.0,1200.0,coinafrique
Terrain 4 lot a 40 m du goudron Segbe douane,VENTE,Terrain,segbe,140000000,,2400.0,coinafrique
Terrain 750m²à agoé assiyeye,VENTE,Terrain,agoe assiyeye,140000000,,750.0,coinafrique
"Terrain TF 1,25 lots 804m² - à Agoe Assiyeye",VENTE,Terrain,agoe assiyeye,140000000,,15000.0,coinafrique
Terrain lot+1/4 bien clôturés et positionné au bord du boulevard à Agoè - assiyeye,VENTE,Terrain,agoe,140000000,,150.0,coinafrique
Terrain 600 m² - Agoè,VENTE,Terrain,agoe,135000000,,600.0,coinafrique
Terrain 600m²au bord du goudron à Agoe Assiyeye,VENTE,Terrain,agoe assiyeye,135000000,,600.0,coinafrique
Terrain 27 lots - Lilikopé,VENTE,Terrain,lilikope,135000000,,16200.0,coinafrique
Terrain TF à Tokoin Adewi,VENTE,Terrain,tokoin,135000000,,600.0,coinafrique
Terrain 9lots collés à Djable Gbamakope,VENTE,Terrain,djable gbamakope,135000000,,5400.0,coinafrique
Terrain 1 lot - Tokoin doumassesse,VENTE,Terrain,tokoin,130000000,,600.0,coinafrique
Terrain 1 lot - Adidogomee,VENTE,Terrain,adidogome,130000000,,600.0,coinafrique
Terrain 1lot - Adéwiu,VENTE,Terrain,adewui,130000000,,600.0,coinafrique
Terrain à Adewui,VENTE,Terrain,adewui,130000000,,600.0,coinafrique
Terrain 1 lot - Dékon,VENTE,Terrain,dekon,130000000,,600.0,coinafrique
Terrain 1lot - Tokoin,VENTE,Terrain,tokoin,130000000,,600.0,coinafrique
Terrain 1 lot à Tokoin adewui,VENTE,Terrain,tokoin,130000000,,600.0,coinafrique
Terrain cloturé à Kara,VENTE,Terrain,kara,130000000,,600.0,coinafrique
Terrain 1 lot à Tokoin wuiti,VENTE,Terrain,tokoin,130000000,,600.0,coinafrique
Terrain 2 lots clôturés à Hedjanawoe derrière la pharmacie BA,VENTE,Terrain,hedzranawoe,130000000,,1200.0,coinafrique
Terrain 2 lots TF à carrefour Kpala,VENTE,Terrain,non precise,130000000,,1200.0,coinafrique
Terrain 1 lot - Tokoin,VENTE,Terrain,tokoin,130000000,,600.0,coinafrique
Terrain 1 lot clôturé + 3 boutiques - Adéwui,VENTE,Terrain,adewui,130000000,,600.0,coinafrique
Terrain 2 lots - Lomé,VENTE,Terrain,lome,130000000,,1200.0,coinafrique
Terrain à Tokoin Adewui,VENTE,Terrain,tokoin,130000000,,600.0,coinafrique
Terrain 2 lots angle rue face au pavé et 90 m du goudron Avenou,VENTE,Terrain,avenou,130000000,,1200.0,coinafrique
Terrain 2 lots à Hedzranawoe,VENTE,Terrain,hedzranawoe,130000000,,1200.0,coinafrique
Terrain 1 lot 663m² à Adewui,VENTE,Terrain,adewui,130000000,,600.0,coinafrique
Terrain 1 lot vide face au goudron Adewui 3k,VENTE,Terrain,adewui,130000000,,600.0,coinafrique
Terrain 3/4 lot face au goudron 3K (pharmacie Kisito,VENTE,Terrain,kisito,130000000,,2400.0,coinafrique
Terrain 2 lots collés à Adetikope,VENTE,Terrain,adetikope,130000000,,1200.0,coinafrique
Terrain 2lots à Adjidogome Logoté,VENTE,Terrain,adjidogome logote,130000000,,1200.0,coinafrique
Terrain 2 lots clôturé Attiegou),VENTE,Terrain,attiegou,130000000,,1200.0,coinafrique
Terrain 01 lot à Adewui,VENTE,Terrain,adewui,130000000,,600.0,coinafrique
Terrain 2 lots Hedzranawoe école socrate,VENTE,Terrain,hedzranawoe,130000000,,1200.0,coinafrique
Terain 1200m² - Hedranawoé,VENTE,Terrain,hedzranawoe,130000000,,1200.0,coinafrique
Terrain 1 lot à Adetikopé,VENTE,Terrain,adetikope,130000000,,600.0,coinafrique
Terrain 3 lots à 150 m du goudron Baguida plage,VENTE,Terrain,plage,130000000,,1800.0,coinafrique
Terrain 8 lots colles clôturés à Kpalime,VENTE,Terrain,kpalime,130000000,,4800.0,coinafrique
Terrain 1 lot à à Agoè Minamadou,VENTE,Terrain,agoe,130000000,,600.0,coinafrique
Terrain 1lot àAgoé Assiyiyé,VENTE,Terrain,assiyeye,130000000,,600.0,coinafrique
"Terrain TF 2 lot Tokoin à Bové,",VENTE,Terrain,tokoin,130000000,,1200.0,coinafrique
Terrain 1 lot soit 600m² juste avant le feu tricolore du Grand Rond Point TOTAL Minamadou,VENTE,Terrain,minamadou,130000000,,600.0,coinafrique
Terrain 1 lot - Agoe Assiyéyé,VENTE,Terrain,assiyeye,130000000,,600.0,coinafrique
Terrain 3 lots à Baguida,VENTE,Terrain,baguida,130000000,,1800.0,coinafrique
Terrain 1/ 4 de lot a dekon,VENTE,Terrain,dekon,130000000,,150.0,coinafrique
Terrain 02 Lots collés nu Hedranaw0e,VENTE,Terrain,hedzranawoe,130000000,,1200.0,coinafrique
Terrain 1 lot & 1/4 face au goudron Agbalepedo (carrefour bodjona,VENTE,Terrain,agbalepedo,125000000,,750.0,coinafrique
Terrain 625m² à Ahanoukopé,VENTE,Terrain,hanoukope,120000000,,625.0,coinafrique
Terrain 4 lots - Agoè,VENTE,Terrain,agoe,120000000,,2400.0,coinafrique
Terrain 1/2 lot - Caisse,VENTE,Terrain,caisse,120000000,,300.0,coinafrique
Terrain 2 lots angle rue face au goudron Adetikope zone pia,VENTE,Terrain,adetikope,120000000,,1200.0,coinafrique
Terrain 2 lots collés avec TF au bord de goudron à Lomegan,VENTE,Terrain,lomegan,120000000,,1200.0,coinafrique
Terrain 4 lots - Lomé,VENTE,Terrain,lome,120000000,,2400.0,coinafrique
Terrain 2 lots TF à côté de TV2,VENTE,Terrain,agoe tv2,120000000,,1200.0,coinafrique
Terrain 2 lots à Agoè tv2,VENTE,Terrain,agoe,120000000,,1200.0,coinafrique
Terrain 10 lots - Nimagnan,VENTE,Terrain,nimagnan,120000000,,6000.0,coinafrique
Terrain 2 lots clôturé - Tokoin,VENTE,Terrain,tokoin,120000000,,1200.0,coinafrique
Terrain 8 lots - Ségbé,VENTE,Terrain,segbe,120000000,,4800.0,coinafrique
"Terrain 4,50 lots à Lomé Baguida - Gbogbome",VENTE,Terrain,gbogbome,120000000,,30000.0,coinafrique
Terrain 3 lots - Davié,VENTE,Terrain,davie,120000000,,1800.0,coinafrique
Terrain 1/2 lot angle rue face au goudron cité la renaissance Caisse,VENTE,Terrain,renaissance caisse,120000000,,300.0,coinafrique
Terrain - Cité de la Renaissance,VENTE,Terrain,non precise,120000000,,600.0,coinafrique
Terrain 4 lots - Apessito,VENTE,Terrain,apessito,120000000,,2400.0,coinafrique
Terrain 2 lots angle - rue hedzranawoe aéroport,VENTE,Terrain,hedzranawoe aeroport,120000000,,1200.0,coinafrique
Terrain 2 lots et demi à Agbalepedo,VENTE,Terrain,agbalepedo,120000000,,1200.0,coinafrique
Terrain 547m² à Casablanca Lomé Kpalimé,VENTE,Terrain,casablanca lome kpalime,120000000,,547.0,coinafrique
Terrain 2 lots - Agoè tv2,VENTE,Terrain,agoe,120000000,,1200.0,coinafrique
Terrain 2 lots angle rue face au goudron Adetikope Pia,VENTE,Terrain,adetikope,120000000,,1200.0,coinafrique
Terrain 3/4 lots à Casablaca,VENTE,Terrain,casablaca,120000000,,2400.0,coinafrique
"Terrain 4,50 Lots collés clôturés à à Gbodjome",VENTE,Terrain,gbodjome,120000000,,30000.0,coinafrique
Terrain 2 lots - Adetikopé,VENTE,Terrain,adetikope,120000000,,1200.0,coinafrique
Terrain 02 lots collés á Adidogomé Madiba,VENTE,Terrain,adidogome,120000000,,1200.0,coinafrique
Terrain 1/2 lots - Cité Oua,VENTE,Terrain,non precise,120000000,,300.0,coinafrique
Terrain 1/2 lot cité oua,VENTE,Terrain,non precise,120000000,,300.0,coinafrique
Vente terrain 355m² cité OUA,VENTE,Terrain,non precise,120000000,,355.0,coinafrique
Terrain 1 lot & 1/4 angle rue face au goudron Kodjoviakope,VENTE,Terrain,kodjoviakope,120000000,,750.0,coinafrique
Terrain 355m³ clôturé Cité oua,VENTE,Terrain,non precise,120000000,,600.0,coinafrique
Terrain clôturé 355m² - Cité Oua,VENTE,Terrain,non precise,120000000,,355.0,coinafrique
Terrain 02 lots et demi à Bè arigho,VENTE,Terrain,be,120000000,,1200.0,coinafrique
Terrain 1 lot 900m² à Adidogome sagbado,VENTE,Terrain,adidogome sagbado,120000000,,600.0,coinafrique
Terrain 1/2 lot - Cité Oua,VENTE,Terrain,non precise,120000000,,300.0,coinafrique
Terrain à Tsevie,VENTE,Terrain,tsevie,120000000,,600.0,coinafrique
