titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source
"chambre salon,louer,lome,nukafu",LOCATION,Chambre Salon,nukafu,45000,1.0,25.0,immoask
"terrain,vendre,lome,kegue",VENTE,Terrain,kegue,55000000,2.0,750.0,immoask
"villa meublée,vendre,lome,zanguera",VENTE,Villa,zanguera,550000000,3.0,600.0,immoask
"chambre,louer,lome,totsi egblinkome",LOCATION,Chambre,totsi,30000,1.0,10.0,immoask
"2 chambres salon,louer,1,nukafu",LOCATION,Maison,nukafu,100000,2.0,60.0,immoask
"3 chambres salon,louer,lome,kegue",LOCATION,Maison,kegue,250000,2.0,120.0,immoask
"chambre,louer,lome,zanguera",LOCATION,Chambre,zanguera,30000,1.0,16.0,immoask
"chambre salon,louer,lome,adidogome atilamonou",LOCATION,Chambre Salon,adidogome,45000,1.0,25.0,immoask
"2 chambres salon,louer,lome,adidogome kohe",LOCATION,Maison,adidogome,70000,2.0,50.0,immoask
"3 chambres salon,louer,lome,kegue",LOCATION,Maison,kegue,150000,2.0,80.0,immoask
"chambre salon,louer,lome,kegue",LOCATION,Chambre Salon,kegue,60000,1.0,20.0,immoask
"villa meublée,louer,lome,avenou",LOCATION,Villa,avenou,2000000,3.0,120.0,immoask
"studio meublé,louer,lome,agoe",LOCATION,Studio,agoe,150000,1.0,80.0,immoask
"appartement meublé,louer,lome,tokoin",LOCATION,Appartement,tokoin,450000,2.0,80.0,immoask
"appartement meublé,louer,lome,agbalepedo",LOCATION,Appartement,agbalépédo,400000,2.0,25.0,immoask
"villa meublée,louer,lome,hedzranawoe",LOCATION,Villa,hédzranawoe,500000,3.0,300.0,immoask
"appartement meublé,louer,lome,adidoadin",LOCATION,Appartement,adidoadin,500000,2.0,250.0,immoask
"appartement meublé,louer,1,adidoadin",LOCATION,Appartement,adidoadin,500000,2.0,250.0,immoask
"appartement meublé,louer,lome,agoe",LOCATION,Appartement,agoe,200000,2.0,25.0,immoask
"appartement meublé,louer,lome,avedji limousine",LOCATION,Appartement,adidogome,550000,2.0,300.0,immoask
"appartement meublé,louer,lome,amadahome",LOCATION,Appartement,adidogome,350000,2.0,25.0,immoask
"appartement meublé,louer,lome,amandahome",LOCATION,Appartement,adidogome,700000,2.0,300.0,immoask
"villa,vendre,lome,agoe",VENTE,Appartement,agoe,155000000,2.0,1200.0,immoask
"villa,vendre,lome,adidogome akato",VENTE,Villa,adidogome,65000000,3.0,300.0,immoask
"studio meublé,louer,lome,agoe",LOCATION,Appartement,agoe,170000,2.0,16.0,immoask
"maison,vendre,lome,tokoin hopital",VENTE,Maison,tokoin,70000000,3.0,392.0,immoask
"studio meublé,louer,lome,avedji",LOCATION,Appartement,avedji,200000,2.0,20.0,immoask
"appartement meublé,louer,lome,be gbenyedzi",LOCATION,Appartement,bè,400000,2.0,120.0,immoask
"appartement meublé,louer,lome,atiegou",LOCATION,Appartement,attiégou,200000,1.0,80.0,immoask
"appartement meublé,louer,lome,be gbenyedzi",LOCATION,Appartement,bè,350000,2.0,100.0,immoask
"villa,vendre,lome,segbe",VENTE,Villa,segbe,30000000,3.0,300.0,immoask
"villa,louer,lome,totsi",LOCATION,Villa,totsi,300000,3.0,300.0,immoask
"villa,louer,lome,leo 2000",LOCATION,Villa,leo 2000,230000,3.0,150.0,immoask
