prefecture,zone_admin,Type d'offre,Type de bien,zone,prix,surface_m2,prix_m2_officiel,source
GOLFE,ZONE 4,VENTE,TERRAIN,adakpame,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,akodessewa kpota,12500000,600,20833,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,sagbado,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,yokoe,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,awatame,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,gblinkomegan,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,segbe,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,wonyome,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,lankouvi,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,akato,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,akato-deme,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,akato-viepe,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,akato-avoieme,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,kleme-agokpanou,7000000,600,11667,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,devego,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,baguida,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,avepozo,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,kpogan,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,baguida plantation,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,kpogan agodeke,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,kpogan agbetiko,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,kpogan nouveau quartier,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,adamavo,8000000,600,13333,valeursvenales
GOLFE,ZONE 6,VENTE,TERRAIN,zone portuaire,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,residence du benin,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,residence de la caisse(baguida),100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,cite mokpokpo,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,cite des anges,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,well city,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,residence de la boad,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,residence de la bceao,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,baie des anges,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,cite millenium,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,cite renaissance,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,lome ii,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,sito aeroport,100000000,600,166667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,agoenyive,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,anome,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,vakpossito,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,telessou,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,demakpoe,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,sogbossito,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,fiovi,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,nyiveme,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,kididjan,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,atchanve,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,agoe assiyeye,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,logope,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,anokoui,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,adetikope zone urbaine,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,sanguera 2,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,amedenta,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,konhe,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zopomahe,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zossime,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,daliko,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,legbassito,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,madjikpeto,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ahonkpoe,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,togblekope,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zongo,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,adetikope periurbain,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,daviemodji,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,tsevie weme,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,tsevie wagba,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,tsevie wuagba (cite nord),5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,tsevie davie adidome,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,tsevie assiama,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,tsevie boloumondji,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,tsevie gbatopemodji,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,kpali,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,kpatefi,5000000,600,8333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,mission tove,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,apessito,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,kpala,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,davie assome,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,djagble,2000000,600,3333,valeursvenales
ZIO,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,700000,10000,70,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,atakpame eroma,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,agbonou kpota,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,idiotse,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,commune,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,talo sanin,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,ayelecope,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,agbonou-kpota,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,agbonou,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,gnagna,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,woudou,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,doulassame,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,agbonou-kpotame,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,talo-tandje,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,afeye-kpota,4000000,600,6667,valeursvenales
OGOU,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zone periurbaine,2000000,600,3333,valeursvenales
OGOU,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,200000,10000,20,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,nlessi,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,glidji,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,zebe,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,assoukondji,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,vodougbe cocoteraie,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,adjido,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,abalo kondji,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,vodougbe,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,tonoukondji,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,yesuvito,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,kpota,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,degbenou,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,commune,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,goumoukope,5000000,600,8333,valeursvenales
LACS,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zone periurbaine,2000000,600,3333,valeursvenales
LACS,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,600000,10000,60,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,seva-mondji,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,adjrego-apegan,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,adagbe,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,agbope,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,ville de vogan,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,agogbezin,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,amoindji-pedakome,4000000,600,6667,valeursvenales
VO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zone periurbaine,2000000,600,3333,valeursvenales
VO,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,500000,10000,50,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,kpodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,kusuntu,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,kpegolonou,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,kligekodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,kpota,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,zomayi kpota,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,kpeta,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,dzodzekodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,agoekodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,kpogadzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,sihinu,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,gakpodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,zongo,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,afiadenyigba kodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,dome,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,totsoanyi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,samkodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,akpame kondzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,numetukodzi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,nogo,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,lomnava,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,novissi,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,tsive,5000000,600,8333,valeursvenales
