Préfecture,Zone,Type d'offre,Type de bien,Quartier,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),source
GOLFE,ZONE 4,VENTE,TERRAIN,AMANDAHOME,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,APEDOKOE,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AVEDJI,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AKODESSEWA KPONOU,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,KANYIKOPE,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,ADAKPAME,12500000,600,20833,valeursvenales
GOLFE,ZONE 4,VENTE,TERRAIN,AKODESSEWA KPOTA,12500000,600,20833,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,SAGBADO,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,YOKOE,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,AWATAME,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,GBLINKOMEGAN,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,SEGBE,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,WONYOME,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,LANKOUVI,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,AKATO,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,AKATO-DEME,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,AKATO-VIEPE,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,AKATO-AVOIEME,7000000,600,11667,valeursvenales
GOLFE,ZONE 5,VENTE,TERRAIN,KLEME-AGOKPANOU,7000000,600,11667,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,DEVEGO,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,BAGUIDA,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,AVEPOZO,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,KPOGAN,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,BAGUIDA PLANTATION,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,KPOGAN AGODEKE,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,KPOGAN AGBETIKO,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,KPOGAN NOUVEAU QUARTIER,8000000,600,13333,valeursvenales
GOLFE,ZONE 5 (DÉVÉGO),VENTE,TERRAIN,ADAMAVO,8000000,600,13333,valeursvenales
GOLFE,ZONE 6,VENTE,TERRAIN,ZONE PORTUAIRE,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,RESIDENCE DU BENIN,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,RESIDENCE DE LA CAISSE(BAGUIDA),100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,CITE MOKPOKPO,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,CITE DES ANGES,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,WELL CITY,100000000,600,166667,valeursvenales
GOLFE,ZONE 7,VENTE,TERRAIN,RESIDENCE DE LA BOAD,100000000,600,166667,valeursvenales
