Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,id,nuo,usage,categorie,garage,cout_mensuel,cout_vente,nuitee,Préfecture,Zone,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),date_annonce,annee,trimestre,periode
COIN D'AFRIQUE,Location appartement meublée 04 pièces - Avédji coconut,LOCATION,APPARTEMENT MEUBLE,AVEDJI,700000.0,4.0,64.0,175000.0,10938.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée 03 pièces - Ablogamé,LOCATION,APPARTEMENT MEUBLE,ABLOGAME,700000.0,3.0,48.0,233333.0,14583.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 4 pièces - Lomé,LOCATION,APPARTEMENT MEUBLE,LOME,700000.0,4.0,64.0,175000.0,10938.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée 03 pièces à Bè hôpital,LOCATION,APPARTEMENT MEUBLE,BE,700000.0,3.0,48.0,233333.0,14583.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé - Agoe,LOCATION,APPARTEMENT MEUBLE,AGOE,650000.0,5.0,109.0,130000.0,5963.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Avenou,LOCATION,APPARTEMENT MEUBLE,AVENOU,650000.0,3.0,48.0,216667.0,13542.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 4 pièces - Nukafu,LOCATION,APPARTEMENT MEUBLE,NUKAFU,650000.0,4.0,64.0,162500.0,10156.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement chambres salon Amadahomè CAP,LOCATION,APPARTEMENT,AMADAHOME,650000.0,2.0,32.0,325000.0,20312.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublé 3 chambres haut standing Agoè Minamadou,LOCATION,APPARTEMENT MEUBLE,AGOE,600000.0,3.0,48.0,200000.0,12500.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
COIN D'AFRIQUE,Location appartement meublée de 02 pièces à adidoadin,LOCATION,APPARTEMENT MEUBLE,ADIDOADIN,600000.0,2.0,32.0,300000.0,18750.0,coinafrique,,,,,,,,,,,,,,,,,,,,,,,,,2026,2,2026-Q2
