Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source
IMMOASK,"appartement meublé,louer,lome,gbossime",LOCATION,APPARTEMENT MEUBLE,GBOSSIME,250000,3,150.0,83333.0,1667,immoask
IMMOASK,"villa,vendre,lome,djagble",VENTE,VILLA,DJAGBLE,32000000,5,445.0,,71910,immoask
IMMOASK,"magasin,louer,lome,be kpota",LOCATION,MAGASIN,BE,400000,1,300.0,400000.0,1333,immoask
IMMOASK,"appartement meublé,louer,lome,agoe anome",LOCATION,APPARTEMENT MEUBLE,AGOE,300000,2,300.0,150000.0,1000,immoask
IMMOASK,"villa meublée,louer,lomé,amadahome",LOCATION,VILLA MEUBLE,ADIDOGOME,600000,3,600.0,200000.0,1000,immoask
IMMOASK,"appartement meublé,louer,lome,kegue",LOCATION,APPARTEMENT MEUBLE,KEGUE,150000,2,80.0,75000.0,1875,immoask
IMMOASK,"appartement meublé,louer,lome,kegue",LOCATION,APPARTEMENT MEUBLE,KEGUE,150000,1,80.0,150000.0,1875,immoask
IMMOASK,"appartement meublé,louer,lome,hedzranawoe",LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,350000,2,100.0,175000.0,3500,immoask
IMMOASK,"appartement meublé,louer,lome,hedzranawoe",LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,350000,2,100.0,175000.0,3500,immoask
IMMOASK,"appartement meublé,louer,lome,hedzranawoe",LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,350000,2,100.0,175000.0,3500,immoask
IMMOASK,"appartement meublé,louer,lome,hedranawoe",LOCATION,APPARTEMENT MEUBLE,HEDZRANAWOE,250000,1,80.0,250000.0,3125,immoask
IMMOASK,"appartement meublé,louer,lome,djidjole",LOCATION,APPARTEMENT MEUBLE,DJIDJOLE,350000,2,100.0,175000.0,3500,immoask
IMMOASK,"villa meublée,louer,lome,avepozo",LOCATION,VILLA MEUBLE,AVEPOZO,400000,3,300.0,133333.0,1333,immoask
IMMOASK,"appartement meublé,louer,lome,baguida",LOCATION,APPARTEMENT MEUBLE,BAGUIDA,400000,2,300.0,200000.0,1333,immoask
IMMOASK,"villa,vendre,lome,be kpota",VENTE,VILLA,BE,130000000,4,400.0,,325000,immoask
IMMOASK,"villa,louer,lome,hedzranawoe",LOCATION,APPARTEMENT,HEDZRANAWOE,1200000,6,600.0,200000.0,2000,immoask
IMMOASK,"villa,louer,lome,hedranawoe",LOCATION,APPARTEMENT,HEDZRANAWOE,1200000,3,600.0,400000.0,2000,immoask
IMMOASK,"immeuble commercial,vendre,lome,legbassito",VENTE,IMMEUBLE COMMERCIAL,AGOE,85000000, ,600.0,,141667,immoask
IMMOASK,"villa,louer,lome,be kpota",LOCATION,APPARTEMENT,BE,500000,3,300.0,166667.0,1667,immoask
IMMOASK,"terrain,vendre,lome,agoe togble",VENTE,TERRAIN,AGOE,6500000,,300.0,,21667,immoask
IMMOASK,"appartement meublé,louer,lome,agoe legbassito anhonkpoe",LOCATION,APPARTEMENT MEUBLE,AGOE,200000,2,48.0,100000.0,4167,immoask
IMMOASK,"maison,vendre,lome,agoe sogbossito",VENTE,MAISON,AGOE,35000000,2,120.0,,291667,immoask
IMMOASK,"2 chambres salon,louer,lome,agoe legbassito anhonkpoe",LOCATION,APPARTEMENT,AGOE,200000,3,48.0,66667.0,4167,immoask
IMMOASK,"boutique,louer,lome,lomegan",LOCATION,BOUTIQUE,LOMEGAN,100000,1,50.0,100000.0,2000,immoask
IMMOASK,"terrain,bailler,lome,sagbado",LOCATION,TERRAIN,SAGBADO,75000,2,600.0,37500.0,125,immoask
IMMOASK,"terrain,bailler,lome,agoe",LOCATION,TERRAIN,AGOE,75000,2,600.0,37500.0,125,immoask
IMMOASK,"villa,louer,lome,avedji",LOCATION,APPARTEMENT,AVEDJI,150000,3,150.0,50000.0,1000,immoask
IMMOASK,"chambre salon,louer,lome,agoe",LOCATION,CHAMBRE,AGOE,50000,2,25.0,25000.0,2000,immoask
IMMOASK,"chambre salon,louer,lome,agoe",LOCATION,CHAMBRE,AGOE,50000,2,25.0,25000.0,2000,immoask
IMMOASK,"chambre salon,louer,lome,agoe",LOCATION,CHAMBRE,AGOE,50000,2,25.0,25000.0,2000,immoask
IMMOASK,"terrain,bailler,lome,avedji",LOCATION,TERRAIN,AVEDJI,150000,2,1200.0,75000.0,125,immoask
IMMOASK,"3 chambres salon,louer,lome,vakpossito",LOCATION,APPARTEMENT,AGOE,90000,3,80.0,30000.0,1125,immoask
IMMOASK,"3 chambres salon,louer,lome,adidogome cite mokpokpo",LOCATION,APPARTEMENT,ADIDOGOME,120000,4,80.0,30000.0,1500,immoask
IMMOASK,"terrain,vendre,tsevie,davie",VENTE,TERRAIN,DAVIE,4500000,,1800.0,,2500,immoask
IMMOASK,"2 chambres salon,louer,lome,be station t-oil",LOCATION,APPARTEMENT,BE,220000,3,48.0,73333.0,4583,immoask
IMMOASK,"villa meublée,louer,lome,zanguera",LOCATION,VILLA MEUBLE,ZANGUERA,250000,2,48.0,125000.0,5208,immoask
IMMOASK,"chambre,louer,lome,zanguera",LOCATION,CHAMBRE,ZANGUERA,15000,1,16.0,15000.0,938,immoask
IMMOASK,"2 chambres salon,louer,lome,adidogome soviepe",LOCATION,APPARTEMENT,ADIDOGOME,65000,3,64.0,21667.0,1016,immoask
IMMOASK,"chambre salon,louer,lome,carrefour minamadou",LOCATION,CHAMBRE,AGOE,60000,2,64.0,30000.0,938,immoask
IMMOASK,"2 chambres salon,louer,lomé,segbe",LOCATION,APPARTEMENT,SEGBE,35000,3,48.0,11667.0,729,immoask
IMMOASK,"2 chambres salon,louer,lome,segbe",LOCATION,APPARTEMENT,SEGBE,45000,3,48.0,15000.0,938,immoask
