Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source,raison_rejet
"nous mettons en location une chambre salon plafo\"",Location,Terrain,Non spécifié,30000,2.0,20.0,,,facebook,prix_ou_surface_manquant
Facebook Marketplace,LOCATION,Location,Terrain,non spécifié,70000.0,Non spécifié,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Location,Location,Terrain,non spécifié,70000.0,Non spécifié,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Cours unique chambre salon,Vente,Villa,non spécifié,40000.0,2,20.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Appartement scindé en cour unique,Vente,Villa,non spécifié,65000.0,3,60.0,Facebook,facebook,zone_invalide
Facebook Marketplace,TERRAIN A VENDRE AKATO,Vente,Terrain,non spécifié,150000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre,Vente,Terrain,non spécifié,5500000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Lomé Togo terrain à vendre,Vente,Terrain,non spécifié,9.0E7,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain un lot en vente a lome aképé port sec,Vente,Terrain,non spécifié,9000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain fiable à vendre,Vente,Terrain,non spécifié,2800000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,*A VENDRE*,,,,,,,,facebook,prix_ou_surface_manquant
02 LOT de terrain au cœur du grand marché de LOMÉ.,,,,,,,,,facebook,prix_ou_surface_manquant
Surface : 1000 m2.,,,,,,,,,facebook,prix_ou_surface_manquant
"Situés en angle de\"",Vente,Terrain,Non spécifié,1000000000,,700.0,,,facebook,prix_ou_surface_manquant
Facebook Marketplace,Terrain demi Lot,Vente,Terrain,non spécifié,3.5E7,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à Lomé 🇹🇬,Vente,Terrain,non spécifié,1.2E8,Non spécifié,700.0,Facebook,facebook,zone_invalide
Facebook Marketplace,TERRAINS AGRICOLES EN VENTE À AZAHOUN,Vente,Terrain,non spécifié,1300000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain en vente a Lomé aképé,Vente,Terrain,non spécifié,9000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain : 1/2 lot avec Titre Foncier P à klikamé non loin campus Lomé,Vente,Terrain,non spécifié,1.9E7,Non spécifié,175.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre à Lomé akepe,Vente,Terrain,non spécifié,9000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain à vendre au grand marché de lomé (Assigame),Vente,Terrain,non spécifié,1000000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,VENTE DE TERRAIN A NOTSÈ 13 KL AU GOUDRON 🇹🇬,Vente,Terrain,non spécifié,400000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,VENTE DE TERRAIN A NOTSÈ À 13 KLM DU GOUDRON 🇹🇬,Vente,Terrain,non spécifié,400000.0,Non spécifié,43.75,Facebook,facebook,zone_invalide
Facebook Marketplace,TERRAIN À VENDRE,Vente,Terrain,non spécifié,4000000.0,Non spécifié,350.0,Facebook,facebook,zone_invalide
Facebook Marketplace,Terrain quart de Lot en vente a Lomé mission tové,Vente,Terrain,non spécifié,2000000.0,Non spécifié,87.5,Facebook,facebook,zone_invalide
