Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source,raison_rejet
COIN D'AFRIQUE,Location appartement 2 chambres salon à la Caisse,LOCATION,APPARTEMENT,la caisse,1.3E8,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement haut standing meublée à SOTED,LOCATION,APPARTEMENT,soted,7000000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement 2 chambres salon meublé à Nukafu,LOCATION,APPARTEMENT,nukafu,4300000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement 4 chambres meublé - Togo,LOCATION,APPARTEMENT,togo,1900000.0,4,,CoinAfrique,coinafrique,zone_invalide
COIN D'AFRIQUE,Location appartement meublée 4 pièces - Assivito,LOCATION,APPARTEMENT,assivito,1500000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublée 4 pièces - Centre ville fréau jardin,LOCATION,APPARTEMENT,centre ville freau jardin,1500000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,"Location appartement - Cité renaissance (,caise de lomê)",LOCATION,APPARTEMENT,non precise,1400000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé haut standing Nyekonakpoe,LOCATION,APPARTEMENT,nyekonakpoe,1100000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Klikamé,LOCATION,APPARTEMENT,klikame,950000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé haut standings - Klikamé n,LOCATION,APPARTEMENT,klikame n,950000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 4 pièces - Lomé,LOCATION,APPARTEMENT,lome,900000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement chambre salon meublé centre ville Fréau jardin.,LOCATION,APPARTEMENT,centre ville,900000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 02 pièces Lomé_fréau jardin,LOCATION,APPARTEMENT,freau jardin,900000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement chambre salon à centre ville Fréau jardin,LOCATION,APPARTEMENT,centre ville freau jardin,900000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé Lomé_fréau jardin,LOCATION,APPARTEMENT,centre ville freau jardin,900000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces à Lomé,LOCATION,APPARTEMENT,lome,900000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé - Centre ville Fréau jardin,LOCATION,APPARTEMENT,centre ville freau jardin,900000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé haut standing de l'aéroport,LOCATION,APPARTEMENT,togo 2000,900000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublée de 02 pièces à aéroport,LOCATION,APPARTEMENT,hedzranawoe aeroport,900000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartements meublée 02 pièces - cité renaissance Lomé,LOCATION,APPARTEMENT,non precise,750000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 2 chambres salon Lomé cité Renaissance,LOCATION,APPARTEMENT,non precise,750000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Lomé,LOCATION,APPARTEMENT,lome,750000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Lomé cité renaissance,LOCATION,APPARTEMENT,lome,750000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublée 04 pièces - Avédji coconut,LOCATION,APPARTEMENT,avedji,700000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublée 03 pièces - Ablogamé,LOCATION,APPARTEMENT,ablogame,700000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 4 pièces - Lomé,LOCATION,APPARTEMENT,lome,700000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublée 03 pièces à Bè hôpital,LOCATION,APPARTEMENT,be,700000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé - Agoe,LOCATION,APPARTEMENT,agoe,650000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Avenou,LOCATION,APPARTEMENT,avenou,650000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 4 pièces - Nukafu,LOCATION,APPARTEMENT,nukafu,650000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement chambres salon Amadahomè CAP,LOCATION,APPARTEMENT,amadahome,650000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 chambres haut standing Agoè Minamadou,LOCATION,APPARTEMENT,agoe,600000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublée de 02 pièces à adidoadin,LOCATION,APPARTEMENT,adidoadin,600000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement haut standing meublée de 02 pièces à Totsi,LOCATION,APPARTEMENT,totsi,600000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,location appartements meublés 2 pièces - Hedranawoe,LOCATION,APPARTEMENT,hedzranawoe,550000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublée 03 pièces - Djidjolé,LOCATION,APPARTEMENT,djidjole,550000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement 3 pièces - Totsi,LOCATION,APPARTEMENT,totsi,550000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé de 03 pièces à Bè kpota,LOCATION,APPARTEMENT,be,550000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 4 pièces à Agoè minamadou,LOCATION,APPARTEMENT,agoe,500000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartements meublés 3 pièces - Hedranawoe,LOCATION,APPARTEMENT,hedzranawoe,500000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Pharmacie Hedzanawoe,LOCATION,APPARTEMENT,hedzranawoe,500000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartements 2 pièces - Adidoadin,LOCATION,APPARTEMENT,adidoadin,500000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement 03 pièces Avénou,LOCATION,APPARTEMENT,avenou,500000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement deux chambres salon à la Caisse,LOCATION,APPARTEMENT,la caisse,500000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 02 pièces agoe minamadou,LOCATION,APPARTEMENT,agoe minamadou,500000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 2 pièces - Avenou,LOCATION,APPARTEMENT,avenou,500000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 2 chambres salon - Kegue bouli com,LOCATION,APPARTEMENT,kegue bouli com,500000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement 3 pièces - Agoe Minamadou,LOCATION,APPARTEMENT,agoe minamadou,500000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meuble - Assiyeye,LOCATION,APPARTEMENT,assiyeye,500000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Bé rue de locame,LOCATION,APPARTEMENT,be rue de locame,450000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 2 pièces - Hedranawoé,LOCATION,APPARTEMENT,hedzranawoe,450000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces a Hedranawoé,LOCATION,APPARTEMENT,hedzranawoe,450000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartements 1 pièces - lomé,LOCATION,APPARTEMENT,lome,450000.0,1,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location apparemment de 02 pièces - Lomé cité renaissance,LOCATION,APPARTEMENT,lome,450000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartements 4 pièces - Avénou,LOCATION,APPARTEMENT,avenou,450000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartements meublés piscine 4 pièces - Amadahome,LOCATION,APPARTEMENT,amadahome,450000.0,4,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement duplex - Adidogomé Madiba,LOCATION,APPARTEMENT,adidogome,450000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé - Djidjolé Lomé,LOCATION,APPARTEMENT,djidjole,450000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé - Djidjolé,LOCATION,APPARTEMENT,djidjole,450000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Minamadou,LOCATION,APPARTEMENT,minamadou,450000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé - Forever,LOCATION,APPARTEMENT,forever,450000.0,Non spécifié,,CoinAfrique,coinafrique,zone_description_lieu
COIN D'AFRIQUE,Location appartement meublé - Lomé,LOCATION,APPARTEMENT,lome,450000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces - Agoè Demakpoe,LOCATION,APPARTEMENT,agoe,400000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meuble a Agoè boisson,LOCATION,APPARTEMENT,agoe,400000.0,Non spécifié,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé 3 pièces à Ablogamé hôtel la paix,LOCATION,APPARTEMENT,ablogame,400000.0,3,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartements de 02 pièces - Lomé aéroport,LOCATION,APPARTEMENT,hedzranawoe aeroport,400000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement meublé de 2 chambres salon à Koffi Panou,LOCATION,APPARTEMENT,koffi panou,400000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
COIN D'AFRIQUE,Location appartement 2 chambre salon à Ablogamer,LOCATION,APPARTEMENT,ablogame,400000.0,2,,CoinAfrique,coinafrique,prix_ou_surface_manquant
